Book_ID,Title,Author,Book Description
221,Attack on Titan,Hajime Isayama,A dark fantasy action story about humanity's fight for survival against giant humanoid creatures called Titans.
222,My Hero Academia,Kohei Horikoshi,A superhero coming-of-age story about a boy who dreams of becoming a hero despite being quirkless (without superpowers) in a world where they're commonplace.
223,Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,A historical fantasy action series about a young swordsman who sets out to avenge his family's death and find a cure for his demonized sister.
224,Fullmetal Alchemist,Hiromu Arakawa,"A steampunk fantasy adventure about two alchemist brothers who attempt to bring their mother back to life through alchemy, a forbidden technique."
225,Death Note,"Tsugumi Ohba (writer), Takeshi Obata (artist)",A psychological thriller about a high school student who discovers a notebook with the power to kill anyone whose name is written in it.
226,One Piece,Eiichiro Oda,A long-running pirate adventure following the story of Monkey D. Luffy and his Straw Hat Pirates as they search for the legendary treasure One Piece.
227,Naruto,Masashi Kishimoto,"A shounen action series following the journey of Naruto Uzumaki, a young ninja with a sealed demon fox within him, as he strives to become Hokage, the leader of his village."
228,Bleach,Tite Kubo,A supernatural action series about a teenager who gains the power to see and interact with spirits and becomes a shinigami (soul reaper) tasked with guiding lost souls to the afterlife.
229,Hunter x Hunter,Yoshihiro Togashi,"A shounen adventure series about a young boy named Gon Freecss who sets out to find his father, a legendary Hunter who hunts for treasures, rare creatures, or criminals."
230,Haikyuu!!,Haruichi Furudate,A sports manga about a determined but short volleyball player who joins his high school's team and strives to overcome his limitations and lead his team to victory.
231,Monster,Naoki Urasawa,A psychological thriller about a brilliant doctor who chooses not to save
232,Horimiya,"HERO (writer), Daisuke Hagiwara (artist)",A romantic comedy about a seemingly ordinary high school student who leads a secret double life.
233,Fruits Basket,Natsuki Takaya,"A heartwarming shojo romance with a touch of fantasy about an orphaned girl who starts living with the mysterious Sohma family, who are cursed to transform into animals from the zodiac."
234,Kimi ni Todoke (Reaching You),Aohiro Hiiragi,A sweet and wholesome shojo romance about a shy girl who struggles to make friends and finds love with a popular boy in her class.
235,One-Punch Man,"ONE (writer), Yusuke Murata (artist)",A satirical action comedy about a superhero who can defeat any opponent with a single punch and struggles to find meaning in his overwhelming strength.
236,Daily Lives of High School Boys,Akira Amano,A slice-of-life comedy following the absurd and hilarious everyday lives of a group of high school boys.
237,Grand Blue Dreaming,Kenji Inoue,A comedic coming-of-age story about a college freshman who joins his diving club and gets entangled in their wild antics.
238,Akira,Katsuhiro Otomo,A cyberpunk neo-Tokyo thriller about a group of teenagers with psychic abilities who become entangled in a government conspiracy.
239,Ghost in the Shell,Masamune Shirow,A cyberpunk science fiction story about a cyborg police officer who investigates crimes in a world where the line between human and machine is blurred.
240,Kuroko's Basketball,Tadatoshi Fujimaki,A sports manga about a high school basketball team with a seemingly weak protagonist who possesses unique abilities that lead his team to victory.
241,Prince of Tennis,Takeshi Konomi,A high school tennis manga about a young prodigy who strives to become the best tennis player in the world.
242,Unordinary,Uru-chan,"A superhero webtoon set in a world where everyone has powers, except for the protagonist."
243,Tower of God,SIU (Slave In Utero),A fantasy adventure webtoon following the journey of a boy as he climbs the mysterious Tower of God to find his friend.
244,Lore Olympus,Rachel Smythe,"A modern retelling of Greek mythology, focusing on the romance between Hades and Persephone."
245,The God of High School,Park Yong-je,A martial arts webtoon featuring high school students competing in a tournament to become the strongest fighter.
246,My Dear Cold-Blooded King,Lifelight,A romance webtoon set in a fantasy world where a princess is forced into a political marriage with a cold-blooded king.
247,I Love Yoo,Quimchee,A romantic comedy webtoon about a girl who finds herself entangled with two brothers from a wealthy family.
248,True Beauty,Yaongyi,A romantic comedy webtoon about a girl who undergoes a dramatic transformation with the power of makeup.
249,Let's Play,Mongie,A slice-of-life romantic comedy webtoon about a video game developer and her interactions with her neighbors.
250,Siren's Lament,instantmiso,"A fantasy romance webtoon about sirens, love, and destiny."
251,Lumine,Emma Krogell,A fantasy webtoon about a young boy named Lumine who is searching for his missing master.
252,SubZero,Junepurrr,"A fantasy romance webtoon set in a world divided by elemental powers, where two individuals from rival clans fall in love."
253,Age Matters,Enjelicious,A romance webtoon about a 29-year-old woman who crosses paths with a younger man and discovers new perspectives on life and love.
254,Bastard,"Youngchan Hwang, Carnby Kim",A psychological thriller webtoon about a boy whose father is a serial killer.
255,Lookism,Taejoon Park,"A webtoon about appearance, discrimination, and the quest for identity."
256,Castle Swimmer,Wendy Lian Martin,A fantasy romance webtoon featuring a mermaid prince and a human destined to bring about his destruction.
257,Gourmet Hound,Leehama,"A mystery webtoon about a girl on a quest to find her missing friend, uncovering secrets about food along the way."
258,The Subtle Art of Not Giving a F*ck,Mark Manson,Offers blunt advice on how to live a better life by focusing on what truly matters and letting go of what doesn't.
259,Educated,Tara Westover,"Memoir of a woman who grew up in a strict, survivalist family in rural Idaho and eventually earned a PhD from Cambridge University."
260,Becoming,Michelle Obama,"Memoir of former First Lady Michelle Obama, detailing her life from childhood to her time in the White House."
261,The Power of Habit,Charles Duhigg,Investigates the science behind why habits exist and how they can be changed.
262,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Tells the story of Henrietta Lacks, whose cells were taken without her consent and became instrumental in scientific research."
263,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Chronicles the rise and fall of the biotech startup Theranos and its founder Elizabeth Holmes.
264,"Guns, Germs, and Steel",Jared Diamond,Examines the factors that led to the dominance of certain civilizations over others throughout history.
265,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,"Explores the future of humanity, discussing potential paths for our species in areas such as technology, religion, and more."
266,Freakonomics,"Steven D. Levitt, Stephen J. Dubner","Uses economic principles to explore real-world phenomena, uncovering surprising connections and insights."
267,The Life-Changing Magic of Tidying Up,Marie Kondo,Introduces the KonMari Method for decluttering and organizing your home and life.
268,Outliers: The Story of Success,Malcolm Gladwell,"Investigates the factors that contribute to high levels of success, challenging the notion of individual merit alone."
269,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Memoir of comedian Trevor Noah, detailing his experiences growing up in apartheid-era South Africa."
270,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Explores the strengths and talents of introverts in a society that often values extroversion.
271,The Power of Now,Eckhart Tolle,Offers spiritual guidance on living in the present moment and achieving inner peace.
272,The 7 Habits of Highly Effective People,Stephen R. Covey,"Presents a holistic approach to personal and interpersonal effectiveness based on principles of fairness, integrity, and honesty."
273,How to Win Friends and Influence People,Dale Carnegie,"Offers practical advice on building relationships, influencing others, and achieving success in both personal and professional life."
274,Man's Search for Meaning,Viktor E. Frankl,Memoir of Viktor Frankl's experiences in Nazi concentration camps and his development of logotherapy.
275,The Four Agreements,Don Miguel Ruiz,"Presents a code of conduct based on ancient Toltec wisdom, offering principles for personal freedom and happiness."
276,Into the Wild,Jon Krakauer,"Chronicles the journey of Chris McCandless, a young man who gave up his possessions and ventured into the Alaskan wilderness."
277,Thinking in Bets,Annie Duke,"Explores decision-making through the lens of poker, offering insights into how to make better choices in uncertain situations."
278,When Breath Becomes Air,Paul Kalanithi,"Memoir of a neurosurgeon diagnosed with terminal cancer, reflecting on life, mortality, and the pursuit of meaning."
279,The Art of War,Sun Tzu,"Ancient Chinese military treatise offering insights into strategy, tactics, and leadership."
280,The Tipping Point,Malcolm Gladwell,"Explores the phenomena that lead to the sudden and dramatic spread of ideas, products, and behaviors."
281,The Power of Positive Thinking,Norman Vincent Peale,Advocates for the power of positive thinking in overcoming challenges and achieving success.
282,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Examines the psychology behind why people say ""yes"" and how to apply these principles ethically in various contexts."
283,Daring Greatly,Brené Brown,"Explores the concept of vulnerability and its role in courage, authenticity, and meaningful connections."
284,The Fifth Risk,Michael Lewis,Investigates the consequences of the transition between presidential administrations in the United States.
285,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Collection of case studies exploring unusual neurological conditions and their implications for human identity.
286,The Brain That Changes Itself,Norman Doidge,Explores the neuroplasticity of the brain and how it can adapt and rewire itself throughout life.
287,Mindset,Carol S. Dweck,Examines the concept of mindset and how having a growth mindset can lead to greater success and fulfillment.
288,The Lean Startup,Eric Ries,Presents a methodology for developing businesses and products based on iterative learning and experimentation.
289,The Happiness Project,Gretchen Rubin,Chronicles the author's year-long experiment to increase happiness in various aspects of her life.
290,The Wright Brothers,David McCullough,"Biography of the Wright brothers, pioneers of aviation, and their journey to inventing the first successful airplane."
291,In Cold Blood,Truman Capote,"Investigative journalism book recounting the brutal murders of the Clutter family in Holcomb, Kansas, and the subsequent investigation, trial, and execution of the perpetrators."
292,Mythology: Timeless Tales of Gods and Heroes,Edith Hamilton,"A comprehensive collection of Greek, Roman, and Norse myths, retold for modern readers."
293,Norse Mythology,Neil Gaiman,"Retelling of Norse myths, featuring gods like Odin, Thor, and Loki, and their adventures in the Nine Worlds."
294,The Epic of Gilgamesh,Anonymous,"One of the oldest known works of literature, it tells the story of Gilgamesh, a legendary king of Uruk."
295,The Aeneid,Virgil,"Epic poem by Virgil, telling the story of Aeneas, a Trojan hero who traveled to Italy and founded Rome."
296,Metamorphoses,Ovid,"Narrative poem by Ovid, featuring a collection of myths and legends from Greek and Roman mythology."
297,Mythos,Stephen Fry,"Retelling of Greek myths by Stephen Fry, exploring the stories of gods, heroes, and monsters."
298,Heroes,Stephen Fry,"Sequel to ""Mythos"" by Stephen Fry, delving into the lives and adventures of Greek heroes."
299,Mythology,Edith Hamilton,"Classic retelling of Greek, Roman, and Norse myths, providing insights into the ancient world."
300,Bulfinch's Mythology,Thomas Bulfinch,"Collection of myths and legends from various cultures, including Greek, Roman, and Norse mythology."
301,The Mabinogion,Anonymous,"Collection of Welsh myths and legends, featuring stories of heroes, gods, and magical creatures."
302,The Prose Edda,Snorri Sturluson,"Collection of Old Norse mythology and poetry, providing insights into Norse cosmology and legends."
303,The Poetic Edda,Anonymous,"Collection of Old Norse poems, featuring myths, heroic lays, and wisdom literature."
304,D'Aulaires' Book of Greek Myths,Ingri d'Aulaire,"Illustrated retelling of Greek myths for children, featuring colorful illustrations and engaging storytelling."
305,Egyptian Mythology,Geraldine Pinch,"Introduction to ancient Egyptian mythology, covering gods, goddesses, myths, and religious beliefs."
306,The Egyptian Book of the Dead,Anonymous,"Collection of ancient Egyptian funerary texts, guiding the deceased through the afterlife."
307,The Norse Myths,Kevin Crossley-Holland,"Retelling of Norse myths, featuring gods, giants, and heroes, with commentary on their cultural significance."
308,Mythology: Timeless Tales of Gods and Heroes (listed above),Edith Hamilton,"Classic retelling of Greek, Roman, and Norse myths, providing insights into the ancient world."
309,The Ramayana,Valmiki,Ancient Indian epic poem telling the story of Prince Rama and his quest to rescue his wife Sita from the demon king Ravana.
310,The Mahabharata,Vyasa,"Epic narrative of the Kurukshetra War and the fates of the Kaurava and the Pandava princes, including the Bhagavad Gita."
311,Sita: An Illustrated Retelling of the Ramayana,Devdutt Pattanaik,"A reimagining of the Ramayana from Sita's perspective, exploring themes of love, sacrifice, and devotion."
312,Jaya: An Illustrated Retelling of the Mahabharata,Devdutt Pattanaik,"A modern retelling of the Mahabharata, presenting the epic in a concise and accessible format with vibrant illustrations."
313,The Krishna Key,Ashwin Sanghi,"Thriller novel that intertwines modern-day mystery with elements of ancient Indian mythology, particularly related to Lord Krishna."
314,Palace of Illusions,Chitra Banerjee Divakaruni,"Novel retelling the Mahabharata from the perspective of Draupadi, exploring themes of gender, power, and destiny."
315,Myth=Mithya: Decoding Hindu Mythology,Devdutt Pattanaik,"Explores various Hindu myths and symbols, decoding their meanings and significance in Indian culture and spirituality."
316,The Pregnant King,Devdutt Pattanaik,"Novel that reimagines the Mahabharata story of King Yuvanashva, exploring themes of gender identity and societal norms."
317,Shiva Trilogy,Amish Tripathi,"Series of novels that reinterprets the legends of Lord Shiva, blending mythology with fiction and adventure."
318,Devlok with Devdutt Pattanaik,Devdutt Pattanaik,"Collection of essays and conversations that delve into various aspects of Hindu mythology, culture, and philosophy."
319,The Oath of the Vayuputras,Amish Tripathi,"Conclusion to the Shiva Trilogy, continuing the epic tale of Lord Shiva's adventures and battles against evil forces."
320,Asura: Tale of the Vanquished,Anand Neelakantan,"Retelling of the Ramayana from the perspective of Ravana, offering a different interpretation of the epic."
321,Ramayana: Divine Loophole,Sanjay Patel,"Graphic novel adaptation of the Ramayana, featuring vibrant illustrations and simplified storytelling."
322,The Forest of Enchantments,Chitra Banerjee Divakaruni,"Retelling of the Ramayana from Sita's point of view, exploring her emotions, struggles, and relationships."
323,Shikhandi and Other Tales They Don't Tell You,Devdutt Pattanaik,"Collection of gender-fluid narratives from Hindu mythology, challenging traditional ideas of gender and sexuality."
324,Karna's Wife: The Outcast's Queen,Kavita Kane,"Novel that retells the Mahabharata from the perspective of Karna's wife, Uruvi, exploring themes of loyalty and sacrifice."
325,The Aryavarta Chronicles,Krishna Udayasankar,"Series of novels inspired by the Mahabharata, set in a dystopian world where ancient traditions clash with modern ambitions."
326,The Liberation of Sita,Volga,"Novel that reimagines the Ramayana from Sita's viewpoint, exploring her journey to independence and self-discovery."
327,Adi Parva: Churning of the Ocean,Amruta Patil,"Graphic novel adaptation of the Mahabharata's first book, featuring stunning artwork and poetic storytelling."
328,Yajnaseni: The Story of Draupadi,Pratibha Ray,"Novel that tells the story of Draupadi, the central female character of the Mahabharata, exploring her life and relationships."
329,Immortal India: Articles and Speeches by Amish,Amish Tripathi,"Collection of essays and speeches by Amish Tripathi, discussing various aspects of Indian culture, mythology, and spirituality."
330,Mrityunjaya: The Death Conqueror,Shivaji Sawant,"Novel based on the life of Karna from the Mahabharata, delving into his struggles, dilemmas, and ultimate destiny."
331,The Secret of the Nagas,Amish Tripathi,"Second book in the Shiva Trilogy, continuing the adventures of Lord Shiva as he battles evil forces and seeks answers to his destiny."
332,Scion of Ikshvaku,Amish Tripathi,"First book in the Ram Chandra series, reimagining the life of Lord Rama and his journey to become a king."
333,Sita: Warrior of Mithila,Amish Tripathi,"Second book in the Ram Chandra series, focusing on Sita's role as a strong and independent warrior."
334,Raavan: Enemy of Aryavarta,Amish Tripathi,"Third book in the Ram Chandra series, exploring the life and motivations of the mythological villain, Raavan."
335,The Giver,Lois Lowry,Follows a boy named Jonas who lives in a seemingly utopian society that gradually reveals its dark secrets and lack of individual freedom.
336,Divergent,Veronica Roth,"First book in a series set in a divided society where people are sorted into factions based on personality traits, following one girl's struggle against the system."
337,The Maze Runner,James Dashner,"Begins a series where a group of teenagers find themselves trapped in a deadly maze, their memories erased, and their ultimate purpose unknown."
338,The War of the Worlds,H.G. Wells,"Classic science fiction novel depicting an invasion of Earth by Martians, exploring themes of imperialism, survival, and human resilience."
339,The Children of Men,P.D. James,"Set in a future where humanity faces extinction due to global infertility, the novel follows one man's journey to protect the last pregnant woman."
340,Neuromancer,William Gibson,"Cyberpunk novel set in a dystopian future where hackers, artificial intelligence, and corporate power dominate society."
341,The Stand,Stephen King,"Epic post-apocalyptic novel depicting the aftermath of a deadly pandemic that wipes out most of humanity, leading to a battle between good and evil."
342,The Running Man,Stephen King (as Richard Bachman),Set in a future where a man is forced to participate in a deadly game show for the entertainment of the masses.
343,The Hunger Games: Catching Fire,Suzanne Collins,"Second book in The Hunger Games series, continuing the story of Katniss Everdeen as she becomes a symbol of rebellion against the oppressive Capitol."
344,The Hunger Games: Mockingjay,Suzanne Collins,"Conclusion to The Hunger Games trilogy, following Katniss Everdeen's role in the revolution against the Capitol and the aftermath of war."
345,Snow Crash,Neal Stephenson,"Cyberpunk novel set in a future America where corporations rule, exploring themes of virtual reality, linguistic viruses, and corporate power."
346,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Set in a post-apocalyptic world where androids are indistinguishable from humans, exploring themes of identity, empathy, and artificial intelligence."
347,The Man in the High Castle,Philip K. Dick,"Alternate history novel set in a world where the Axis Powers won World War II, depicting life under fascist rule and resistance movements."
348,Altered Carbon,Richard K. Morgan,"First book in the Takeshi Kovacs series, set in a future where consciousness can be transferred between bodies, exploring themes of identity and immortality."
349,Red Rising,Pierce Brown,"Begins a series set in a future society where humanity is divided into color-coded castes, following one man's revolution against the ruling elite."
350,The Windup Girl,Paolo Bacigalupi,"Set in a future Thailand ravaged by climate change and genetic engineering, exploring themes of biopiracy, corporate power, and environmental degradation."
351,Parable of the Sower,Octavia E. Butler,"First book in the Earthseed series, set in a near-future America ravaged by social and environmental collapse, following one girl's journey to survive and build a new community."
352,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,"Set in a future world where nanotechnology has transformed society, following the journey of a young girl who receives an interactive book that teaches her about life."
353,Wool,Hugh Howey,"First book in the Silo series, set in a future where humanity lives in underground silos to escape a toxic surface, exploring themes of claustrophobia, surveillance, and rebellion."
354,And Then There Were None,Agatha Christie,"Mystery novel where ten strangers are invited to a remote island, only to be accused of past crimes and murdered one by one."
355,The Cuckoo's Calling,Robert Galbraith (J.K. Rowling),"First book in the Cormoran Strike series, following private investigator Cormoran Strike and his assistant Robin Ellacott as they solve cases."
356,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,"First book in a series following Precious Ramotswe, Botswana's first female detective, as she solves cases with compassion and intuition."
357,Big Little Lies,Liane Moriarty,"Mystery novel exploring the lives of three women whose seemingly perfect lives unravel amid secrets, deception, and a murder investigation."
358,The Hound of the Baskervilles,Arthur Conan Doyle,Sherlock Holmes novel where the detective investigates a supernatural hound that terrorizes the Baskerville family on the moors.
359,In the Woods,Tana French,"First book in the Dublin Murder Squad series, following detective Rob Ryan as he investigates a murder with eerie connections to his past."
360,Sharp Objects,Gillian Flynn,"Mystery thriller about a journalist who returns to her hometown to cover the murder of two preteen girls, confronting her own troubled past."
361,The Silent Patient,Alex Michaelides,"Psychological thriller about a woman who shoots her husband and then stops speaking, leading her therapist to unravel the truth behind her silence."
362,The Secret Place,Tana French,"Mystery novel in the Dublin Murder Squad series, where detectives investigate the murder of a teenage boy at an elite boarding school."
363,The Maltese Falcon,Dashiell Hammett,Hard-boiled detective novel following private investigator Sam Spade as he investigates the mystery of the titular falcon statuette.
364,The Murder of Roger Ackroyd,Agatha Christie,Classic mystery novel featuring detective Hercule Poirot investigating the murder of a wealthy man in a small English village.
365,Dark Places,Gillian Flynn,Mystery thriller about a woman who revisits her traumatic past to investigate the murder of her family when she was a child.
366,The Snowman,Jo Nesbø,"Psychological thriller in the Harry Hole series, where detective Harry Hole investigates a serial killer who targets women."
367,Murder on the Orient Express,Agatha Christie,Detective novel featuring Hercule Poirot solving a murder on a luxurious train journey across Europe.
368,The Girl on the Train,Paula Hawkins,Psychological thriller about a woman who becomes entangled in a missing person investigation while battling her own demons.
369,The Secret Keeper,Kate Morton,Mystery novel blending past and present as a woman uncovers family secrets and a wartime mystery.
370,The Woman in White,Wilkie Collins,"Classic mystery novel involving mistaken identity, secrets, and a mysterious woman in white."
371,Lonesome Dove,Larry McMurtry,"Epic Western novel following a cattle drive from Texas to Montana, capturing the essence of the American frontier and the characters who inhabit it."
372,True Grit,Charles Portis,"Classic Western novel about a young girl seeking revenge for her father's murder, accompanied by a grizzled U.S. Marshal."
373,Blood Meridian,Cormac McCarthy,"Brutal and poetic Western novel set in the mid-19th century, following a teenager known only as ""the Kid"" as he joins a scalp-hunting expedition."
374,Riders of the Purple Sage,Zane Grey,"Classic Western novel featuring a mysterious gunman, a rancher's daughter, and conflicts over land and water rights in Utah."
375,The Sisters Brothers,Patrick deWitt,"Darkly humorous Western novel following two hired gunslingers, Eli and Charlie Sisters, as they track down a prospector during the Gold Rush."
376,All the Pretty Horses,Cormac McCarthy,"Coming-of-age Western novel following a young cowboy's journey across the border into Mexico, where he encounters love, loss, and violence."
377,The Shootist,Glendon Swarthout,"Novel about an aging gunslinger, J.B. Books, who seeks to die with dignity in a changing West where his way of life is fading away."
378,Hondo,Louis L'Amour,"Western novel set in the Arizona desert, featuring Hondo Lane, a loner cowboy, and his encounter with a strong-willed woman and her son."
379,The Time It Never Rained,Elmer Kelton,"Novel set in the Texas Panhandle during a prolonged drought, exploring the struggles of ranchers and their fight for survival."
380,The Virginian,Owen Wister,"Considered one of the first Western novels, it follows a cowboy known as ""the Virginian"" as he navigates love, loyalty, and justice in the Wyoming Territory."
381,Little Big Man,Thomas Berger,"Satirical Western novel narrated by 111-year-old Jack Crabb, who recounts his adventures living among Native Americans and Old West figures."
382,Warlock,Oakley Hall,"Novel set in the Old West mining town of Warlock, where a conflict erupts between law and order and vigilante justice."
383,The Ox-Bow Incident,Walter Van Tilburg Clark,"Novel set in a small Western town where a lynching mob forms to punish alleged cattle rustlers, exploring themes of justice and mob mentality."
384,Shane,Jack Schaefer,Classic Western novel about a mysterious gunslinger who becomes involved in a conflict between homesteaders and a ruthless cattle baron.
385,The Border Trilogy,Cormac McCarthy,"Series of novels set on the Texas-Mexico border, featuring interconnected stories of cowboys, outlaws, and the harsh desert landscape."
386,The Big Sky,A.B. Guthrie Jr.,"Epic Western novel following the adventures of Boone Caudill, a fur trapper and mountain man, as he explores the American wilderness."
387,Butcher's Crossing,John Williams,"Novel about a young Harvard dropout who joins a buffalo hunt in the Colorado Rockies, confronting nature, greed, and the limits of civilization."
388,The Way West,A.B. Guthrie Jr.,"Novel following a group of pioneers on the Oregon Trail, facing hardships and conflicts as they journey to a new life in the West."
389,The Call of the Wild,Jack London,Adventure novel about a domesticated dog named Buck who is kidnapped and sold as a sled dog in the Yukon during the Klondike Gold Rush.
390,Hombre,Elmore Leonard,Western novel about a white man raised by Apaches who becomes involved in a stagecoach robbery and must confront his divided loyalties.
391,Woe to Live On,Daniel Woodrell,"Novel set during the American Civil War in Missouri, following a group of Confederate soldiers and their encounters with guerrilla warfare."
392,The Searchers,Alan Le May,"Novel about a man's relentless quest to rescue his niece who has been abducted by Comanche warriors, exploring themes of revenge and redemption."
393,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,"Novelization of the life of Jesse James and his eventual assassination by Robert Ford, exploring themes of fame, betrayal, and myth-making."
394,The Last Picture Show,Larry McMurtry,"Coming-of-age novel set in a small Texas town in the 1950s, following a group of teenagers as they navigate love, loss, and the changing times."
395,The Man Who Shot Liberty Valance,Dorothy M. Johnson,Novella about a senator's rise to power in the Old West and the legendary gunman who may or may not have killed the infamous outlaw Liberty Valance.
396,The Haunting of Hill House,Shirley Jackson,Gothic horror novel about a group of people who experience supernatural occurrences while staying in a haunted mansion.
397,The Exorcist,William Peter Blatty,Supernatural horror novel about the demonic possession of a young girl and the attempts to exorcise the demon.
398,Pet Sematary,Stephen King,Horror novel about a family who discovers a burial ground near their new home that has the power to bring the dead back to life.
399,IT,Stephen King,Horror novel about a group of friends who confront an ancient evil entity that preys on the children of their town.
400,The Silence of the Lambs,Thomas Harris,Psychological horror novel about FBI trainee Clarice Starling who seeks the help of incarcerated serial killer Hannibal Lecter to catch another serial killer.
401,Carrie,Stephen King,Horror novel about a teenage girl with telekinetic powers who seeks revenge on her classmates after they torment her at prom.
402,Misery,Stephen King,Psychological horror novel about a novelist who is kidnapped and tortured by an obsessed fan after a car accident.
403,The Turn of the Screw,Henry James,Gothic horror novella about a governess who becomes convinced that the children in her care are being haunted by malevolent spirits.
404,House of Leaves,Mark Z. Danielewski,"Experimental horror novel about a family who moves into a house that is larger on the inside than it is on the outside, leading to existential terror."
405,Psycho,Robert Bloch,Psychological horror novel about a young woman who checks into a secluded motel run by the mysterious Norman Bates.
406,Interview with the Vampire,Anne Rice,Gothic horror novel about a vampire named Louis who recounts his life story to a young journalist.
407,American Psycho,Bret Easton Ellis,Satirical horror novel about a wealthy investment banker who descends into madness and sadistic violence.
408,The Tell-Tale Heart,Edgar Allan Poe,Short story about a narrator who insists on their sanity while describing a murder they committed.
409,Bird Box,Josh Malerman,Post-apocalyptic horror novel about a mother and her two children who must navigate a world where seeing mysterious creatures leads people to deadly violence.
410,Rosemary's Baby,Ira Levin,Horror novel about a young pregnant woman who becomes increasingly paranoid about her neighbors' intentions and the true nature of her unborn child.
411,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Gothic horror novella about a scientist who creates a potion that unleashes his dark alter ego.
412,The Amityville Horror,Jay Anson,"Supernatural horror novel about a family who moves into a haunted house in Amityville, New York, and experiences terrifying paranormal events."
413,We Have Always Lived in the Castle,Shirley Jackson,Gothic horror novel about two sisters who live in isolation with their uncle after the rest of their family dies under mysterious circumstances.
414,The Girl with All the Gifts,M.R. Carey,Post-apocalyptic horror novel about a young girl who may hold the key to humanity's survival in a world overrun by zombie-like creatures.
415,Something Wicked This Way Comes,Ray Bradbury,"Dark fantasy horror novel about two boys who encounter a mysterious carnival that arrives in their small town, granting wishes at a price."
416,The Woman in Black,Susan Hill,Gothic horror novel about a young solicitor who encounters a vengeful ghost while settling the estate of a deceased client.
417,Horns,Joe Hill,Supernatural horror novel about a man who wakes up one morning with horns growing out of his head and develops dark powers.
418,Let the Right One In,John Ajvide Lindqvist,Horror novel about a bullied young boy who befriends a mysterious girl who turns out to be a vampire.
419,Carrion Comfort,Dan Simmons,Horror novel about a group of people with psychic abilities who feed off human suffering and the efforts to stop their reign of terror.
420,The Ritual,Adam Nevill,Horror novel about four friends who go on a hiking trip in the Scandinavian wilderness and encounter a malevolent force lurking in the woods.
421,Annihilation,Jeff VanderMeer,"Horror novel about a team of scientists who explore a mysterious and dangerous area known as Area X, where nature has taken a sinister turn."
422,World War Z,Max Brooks,"Horror novel about a global zombie pandemic, told through a series of interviews with survivors from different parts of the world."
423,The Terror,Dan Simmons,Historical horror novel about the ill-fated Franklin Expedition to the Arctic and the supernatural forces that prey upon the crew.
424,NOS4A2,Joe Hill,"Horror novel about a woman with supernatural abilities who must confront a sinister and immortal child abductor known as ""Charlie Manx."""
425,Hell House,Richard Matheson,"Horror novel about a physicist who investigates the infamous Belasco House, known for its tragic history and paranormal activity."
426,The Girl Next Door,Jack Ketchum,"Psychological horror novel based on the true story of Sylvia Likens, a young girl who was tortured and killed by her caretakers."
427,Ghost Story,Peter Straub,Horror novel about a group of elderly men who must confront a supernatural entity from their past that has returned to haunt them.
428,The Ruins,Scott Smith,Horror novel about a group of tourists who become trapped in an ancient Mayan temple overrun by a malevolent force.
429,The Troop,Nick Cutter,Horror novel about a group of Boy Scouts who must fight for survival when they encounter a deadly parasitic infection on a remote island.
430,Penpal,Dathan Auerbach,"Horror novel about a man who recalls a series of disturbing events from his childhood, including encounters with a mysterious stalker."
431,Heart-Shaped Box,Joe Hill,Horror novel about an aging rock star who buys a haunted suit online and becomes the target of a vengeful ghost.
432,The Fisherman,John Langan,Horror novel about two widowers who go fishing at a forbidden reservoir and encounter an ancient evil that threatens their sanity.
433,The Girl in the Mirror,Rose Carlyle,Psychological horror novel about twin sisters whose lives spiral into darkness as jealousy and obsession lead to a deadly game of deceit.
434,The Deep,Alma Katsu,Horror novel about the survivors of the Titanic who are haunted by strange occurrences during their journey aboard the doomed ship.
435,The Drowning Kind,Jennifer McMahon,Horror novel about a woman who returns to her family's estate to uncover the truth behind her sister's mysterious drowning decades earlier.
436,The Hunger,Alma Katsu,"Horror novel about the ill-fated Donner Party's journey westward, where they encounter supernatural forces that prey upon their desperation."
437,The Only Good Indians,Stephen Graham Jones,Horror novel about a group of Blackfeet Indians who are haunted by the vengeful spirit of a creature they killed during a hunting trip.
438,My Best Friend's Exorcism,Grady Hendrix,Horror novel about two teenage girls whose friendship is tested when one of them becomes possessed by a demonic entity.
439,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,Horror novel about a book club of Southern housewives who confront a charismatic and dangerous vampire in their neighborhood.
440,The Winter People,Jennifer McMahon,Horror novel about a small town in Vermont where the boundary between the living and the dead becomes blurred.
441,The Whisper Man,Alex North,Psychological horror novel about a father and son who move to a new town where a series of child abductions eerily resembles a case from the past.
